Fecha,DataHist
2008-01,130890
2008-02,144989
2008-03,198209
2008-04,146922
2008-05,171848
2008-06,188955
2008-07,225784
2008-08,223995
2008-09,208152
2008-10,201676
2008-11,304266
2008-12,524429
2009-01,327638
2009-02,295765
2009-03,331851
2009-04,401575
2009-05,322467
2009-06,189704
2009-07,190124
2009-08,188097
2009-09,258235
2009-10,251166
2009-11,274025
2009-12,444415
2010-01,271827
2010-02,217325
2010-03,292066
2010-04,253557
2010-05,249792
2010-06,281815
2010-07,292799
2010-08,259177
2010-09,218562
2010-10,182525
2010-11,213756
2010-12,373379
2011-01,220177
2011-02,220106
2011-03,262128
2011-04,336316
2011-05,272028
2011-06,224059
2011-07,221453
2011-08,250622
2011-09,234690
2011-10,189218
2011-11,241252
2011-12,428336.6
